epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1972.14,1.38021,0.62108,0.95595,0.90972,0.97967,0.97726,0.4605,1.73832,0.6499,1.04604,0.0007724,0.0007724,0.0007724
126,1987.6,1.37773,0.61327,0.96214,0.94477,0.95039,0.97776,0.45582,1.76213,0.65989,1.05302,0.0007625,0.0007625,0.0007625
127,2003.02,1.35121,0.62685,0.94781,0.94494,0.95343,0.97634,0.46852,1.7468,0.66461,1.04901,0.0007526,0.0007526,0.0007526
128,2018.47,1.37048,0.62138,0.9498,0.93519,0.91667,0.97738,0.48078,1.71725,0.67853,1.04452,0.0007427,0.0007427,0.0007427
129,2033.9,1.43859,0.6413,0.97817,0.95707,0.92903,0.98462,0.47355,1.73555,0.68607,1.05645,0.0007328,0.0007328,0.0007328
130,2049.44,1.39359,0.61739,0.96517,0.97649,0.93056,0.98762,0.48061,1.70774,0.6547,1.04964,0.0007229,0.0007229,0.0007229
131,2064.78,1.37653,0.63041,0.94785,0.98076,0.93056,0.98783,0.49469,1.70189,0.63787,1.04089,0.000713,0.000713,0.000713
132,2080.21,1.38692,0.59677,0.96862,0.98733,0.93056,0.98926,0.47281,1.72636,0.64844,1.04932,0.0007031,0.0007031,0.0007031
133,2095.64,1.3785,0.61796,0.96701,0.98511,0.91895,0.98758,0.46377,1.73598,0.65339,1.05681,0.0006932,0.0006932,0.0006932
134,2111.1,1.3454,0.61132,0.93436,0.98334,0.91667,0.98711,0.46496,1.7282,0.66476,1.05456,0.0006833,0.0006833,0.0006833
135,2126.65,1.37753,0.62468,0.93629,0.96848,0.93056,0.98675,0.47117,1.72941,0.68451,1.05244,0.0006734,0.0006734,0.0006734
136,2142.1,1.37907,0.63217,0.94256,0.94369,0.93104,0.98652,0.4786,1.74523,0.66879,1.05332,0.0006635,0.0006635,0.0006635
137,2157.54,1.36624,0.63966,0.93044,0.93941,0.94444,0.9836,0.46516,1.76428,0.66393,1.05515,0.0006536,0.0006536,0.0006536
138,2173.85,1.39884,0.61074,0.9816,0.94422,0.94444,0.97749,0.46564,1.77736,0.66321,1.05859,0.0006437,0.0006437,0.0006437
139,2189.14,1.42067,0.64095,0.97253,0.94048,0.94444,0.9728,0.46599,1.75674,0.64357,1.05316,0.0006338,0.0006338,0.0006338
