epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,17499.9,1.08922,0.44101,1.00337,0.96921,0.97596,0.99213,0.63367,1.25672,0.46578,1.09822,0.0008516,0.0008516,0.0008516
118,17561,1.07727,0.43364,1.00186,0.9769,0.98361,0.98729,0.64287,1.20812,0.45752,1.09644,0.0008417,0.0008417,0.0008417
119,17622,1.0436,0.4189,0.99492,0.96963,0.98987,0.98955,0.63738,1.2446,0.46061,1.09973,0.0008318,0.0008318,0.0008318
120,17683.5,1.06194,0.4371,0.99174,0.96967,0.99137,0.98615,0.62751,1.23225,0.47001,1.09857,0.0008219,0.0008219,0.0008219
121,17743.6,1.09177,0.42931,1.01037,0.96967,0.99144,0.99278,0.6328,1.24024,0.45635,1.10401,0.000812,0.000812,0.000812
122,17804.4,1.09738,0.4341,1.0007,0.96919,0.97674,0.98849,0.6246,1.24476,0.47247,1.11451,0.0008021,0.0008021,0.0008021
123,17864.6,1.07409,0.42373,0.98816,0.97623,0.9845,0.99105,0.62975,1.23348,0.46286,1.10624,0.0007922,0.0007922,0.0007922
124,17926.8,1.1126,0.42288,1.02207,0.98284,0.99225,0.99398,0.62466,1.26561,0.46996,1.11424,0.0007823,0.0007823,0.0007823
125,17987.2,1.07599,0.42474,0.99445,0.97483,0.97674,0.99093,0.62293,1.23738,0.45993,1.10189,0.0007724,0.0007724,0.0007724
126,18048.5,1.10141,0.42289,1.01086,0.96867,0.9845,0.98642,0.61874,1.27653,0.4717,1.12726,0.0007625,0.0007625,0.0007625
127,18110,1.08385,0.43645,1.00246,0.96838,0.96899,0.98948,0.62803,1.24492,0.47479,1.11129,0.0007526,0.0007526,0.0007526
128,18169.9,1.05865,0.41569,0.98474,0.97687,0.98206,0.99001,0.62611,1.22252,0.45716,1.1077,0.0007427,0.0007427,0.0007427
129,18229.7,1.07447,0.42039,0.99006,0.98435,0.9753,0.99099,0.63456,1.22666,0.45051,1.10494,0.0007328,0.0007328,0.0007328
130,18290.6,1.0401,0.41943,0.99385,0.97559,0.9845,0.98735,0.63188,1.22473,0.44356,1.10773,0.0007229,0.0007229,0.0007229
131,18350.9,1.06909,0.4206,0.9965,0.96966,0.99096,0.99052,0.61687,1.27579,0.4653,1.12164,0.000713,0.000713,0.000713
132,18411.4,1.04426,0.41933,0.99929,0.97692,0.98431,0.99098,0.63182,1.20541,0.45472,1.10282,0.0007031,0.0007031,0.0007031
133,18471.3,1.05877,0.41942,0.98605,0.98437,0.97672,0.98941,0.6241,1.24067,0.45092,1.11679,0.0006932,0.0006932,0.0006932
134,18531.5,1.08426,0.41866,1.02749,0.98434,0.97424,0.99018,0.61775,1.23835,0.4553,1.10628,0.0006833,0.0006833,0.0006833
135,18591.5,1.0406,0.41652,0.99542,0.96656,0.99225,0.99183,0.6238,1.26098,0.46823,1.1225,0.0006734,0.0006734,0.0006734
136,18651.4,1.04283,0.409,1.00731,0.98279,0.97674,0.99393,0.60485,1.2986,0.47167,1.14165,0.0006635,0.0006635,0.0006635
137,18711.8,1.04243,0.42083,0.98954,0.98289,0.97674,0.99339,0.62502,1.2587,0.46728,1.1224,0.0006536,0.0006536,0.0006536
138,18772.6,1.05976,0.41821,0.99379,0.97673,0.97595,0.99073,0.63189,1.21499,0.45832,1.11283,0.0006437,0.0006437,0.0006437
139,18832.5,1.05052,0.42895,0.97701,0.98284,0.97674,0.99214,0.62812,1.24425,0.45404,1.12202,0.0006338,0.0006338,0.0006338
140,18892.2,1.01749,0.41096,0.98118,0.97686,0.98177,0.9917,0.6143,1.29638,0.46454,1.1373,0.0006239,0.0006239,0.0006239
141,18951.9,1.05191,0.41511,1.00665,0.97545,0.9845,0.98755,0.60824,1.31064,0.46039,1.14513,0.000614,0.000614,0.000614
142,19013.5,1.02607,0.40738,0.98777,0.96939,0.98194,0.98866,0.64105,1.23352,0.44732,1.11127,0.0006041,0.0006041,0.0006041
143,19073.8,1.04898,0.41305,0.991,0.96927,0.97819,0.98358,0.62683,1.22026,0.45143,1.10647,0.0005942,0.0005942,0.0005942
144,19133.6,1.03128,0.41643,0.97304,0.96963,0.99011,0.99125,0.62713,1.23284,0.45145,1.10851,0.0005843,0.0005843,0.0005843
145,19193.7,1.03981,0.40981,0.98341,0.97707,0.99116,0.99367,0.62184,1.25183,0.44878,1.11563,0.0005744,0.0005744,0.0005744
146,19253.9,1.03083,0.41107,0.99143,0.97638,0.99225,0.99407,0.61429,1.27931,0.46344,1.12608,0.0005645,0.0005645,0.0005645
147,19314.2,1.02355,0.40657,0.98499,0.96967,0.99123,0.994,0.61596,1.29876,0.46026,1.14365,0.0005546,0.0005546,0.0005546
148,19374.6,1.04904,0.40592,0.99401,0.98449,0.98381,0.99423,0.63978,1.24701,0.45667,1.11868,0.0005447,0.0005447,0.0005447
149,19434.2,1.01824,0.40519,1.00247,0.98396,0.97674,0.99416,0.60379,1.29533,0.45874,1.14236,0.0005348,0.0005348,0.0005348
150,19494.3,0.99173,0.40171,0.97492,0.98446,0.98195,0.99378,0.63554,1.26574,0.45079,1.12461,0.0005249,0.0005249,0.0005249
151,19554.6,1.02772,0.4103,0.98241,0.98434,0.97473,0.98918,0.63028,1.25965,0.45358,1.12253,0.000515,0.000515,0.000515
152,19615.1,1.00559,0.40419,0.97213,0.99085,0.9845,0.99315,0.6232,1.26162,0.45107,1.11902,0.0005051,0.0005051,0.0005051
153,19676.2,1.00123,0.39462,0.96688,0.9833,0.9845,0.99321,0.61169,1.2839,0.46104,1.12592,0.0004952,0.0004952,0.0004952
154,19736.2,1.00739,0.40322,0.96496,0.98233,0.9845,0.99311,0.60277,1.30848,0.4656,1.1413,0.0004853,0.0004853,0.0004853
155,19795.9,1.01692,0.40108,0.98379,0.98295,0.9845,0.99383,0.62094,1.26451,0.44544,1.12168,0.0004754,0.0004754,0.0004754
156,19855.7,0.99456,0.39423,0.97854,0.97537,0.97674,0.98353,0.62518,1.24024,0.44631,1.11725,0.0004655,0.0004655,0.0004655
157,19946.8,1.00072,0.39459,0.96946,0.96146,0.97674,0.99152,0.62207,1.23534,0.45201,1.11775,0.0004556,0.0004556,0.0004556
158,20004.4,0.97511,0.3884,0.97414,0.97329,0.97674,0.98216,0.63654,1.216,0.44508,1.11424,0.0004457,0.0004457,0.0004457
